Chorale text,Chorale text URL,Zahn,Zahn URL,BWV,BWV URL,389,CPE,Riemenschneider,Notes,Notes URL,BC F ,BC F URL
Befiehl du deine Wege (v. 5),https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),153/5,https://en.wikipedia.org/wiki/BWV_153,160,21,21,0153_5 ,http://www.bach-chorales.com/BWV0153_5.htm,92.3b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011326
Herzlich tut mich verlangen (v. 4),https://en.wikipedia.org/wiki/Herzlich_tut_mich_verlangen,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),161/6,https://en.wikipedia.org/wiki/BWV_161,161,270,270,0161_6 ,http://www.bach-chorales.com/BWV0161_6.htm,92.13b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011194
O Haupt voll Blut und Wunden (vv. 1–2),https://en.wikipedia.org/wiki/O_Haupt_voll_Blut_und_Wunden,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),244/54,https://en.wikipedia.org/wiki/BWV_244,162,74,74,0244_54 ,http://www.bach-chorales.com/BWV0244_54.htm,92.7,https://www.bach-digital.de/receive/BachDigitalWork_work_00011356
O Haupt voll Blut und Wunden (v. 5) ,https://en.wikipedia.org/wiki/O_Haupt_voll_Blut_und_Wunden,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),244/15 ,https://en.wikipedia.org/wiki/BWV_244,163,98,98,0244_15; ≈BWV 244/17 ,http://www.bach-chorales.com/BWV0244_15.htm || https://en.wikipedia.org/wiki/BWV_244,92.5c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011358
O Haupt voll Blut und Wunden (v. 9),https://en.wikipedia.org/wiki/O_Haupt_voll_Blut_und_Wunden,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),244/62,https://en.wikipedia.org/wiki/BWV_244,164,89,89,0244_62 ,http://www.bach-chorales.com/BWV0244_62.htm,92.8a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011357
Wie soll ich dich empfangen (v. 1),https://en.wikipedia.org/wiki/Wie_soll_ich_dich_empfangen,5385a ,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),248/5,https://en.wikipedia.org/wiki/BWV_248,165,344,345,0248_5 ,http://www.bach-chorales.com/BWV0248_5.htm,92.9b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011279
Herzliebster Jesu (v. 1),https://en.wikipedia.org/wiki/Herzliebster_Jesu,983,https://en.wikipedia.org/wiki/Herzliebster_Jesu,244/3,https://en.wikipedia.org/wiki/BWV_244,166,78,78,0244_3 ,http://www.bach-chorales.com/BWV0244_3.htm,93.3,https://www.bach-digital.de/receive/BachDigitalWork_work_00011349
Herzliebster Jesu (v. 4),https://en.wikipedia.org/wiki/Herzliebster_Jesu,983,https://en.wikipedia.org/wiki/Herzliebster_Jesu,244/46,https://en.wikipedia.org/wiki/BWV_244,167,105,105,0244_46 ,http://www.bach-chorales.com/BWV0244_46.htm,93.4a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011350
Herzliebster Jesu (v. 7),https://en.wikipedia.org/wiki/Herzliebster_Jesu,983,https://en.wikipedia.org/wiki/Herzliebster_Jesu,245/3,https://en.wikipedia.org/wiki/BWV_245,168,58,59,"0245_3; Two versions (2nd in CPE, Rie.,...) ",http://www.bach-chorales.com/BWV0245_3.htm,93.1a/b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011255
Herzliebster Jesu (vv. 8–9),https://en.wikipedia.org/wiki/Herzliebster_Jesu,983,https://en.wikipedia.org/wiki/Herzliebster_Jesu,245/17,https://en.wikipedia.org/wiki/BWV_245,169,111,111,0245_17 ,http://www.bach-chorales.com/BWV0245_17.htm,93.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011258
Alle Menschen müssen sterben,https://en.wikipedia.org/wiki/Alle_Menschen_müssen_sterben,6778,,262,,17,153,153,262,http://www.bach-chorales.com/BWV0262.htm,8.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000332
"Heut ist, o Mensch, ein großer Trauertag",,8569(A),,341,,170,168,168,341,http://www.bach-chorales.com/BWV0341.htm,94.1A ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000411
Heut triumphieret Gottes Sohn,https://en.wikipedia.org/wiki/Heut_triumphieret_Gottes_Sohn,2585,https://en.wikipedia.org/wiki/Heut_triumphieret_Gottes_Sohn#%22Heut_triumphieret_Gottes_Sohn%22,342,,171,79,79,342,http://www.bach-chorales.com/BWV0342.htm,95.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000412
"Hilf, Gott, daß mirs gelinge ","https://en.wikipedia.org/wiki/Hilf,_Gott,_daß_mirs_gelinge",4329,"https://en.wikipedia.org/wiki/Hilf,_Gott,_dass_mirs_gelinge",343,,172,199,199,343,http://www.bach-chorales.com/BWV0343.htm,96.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000413
"Hilf, Herr Jesu, laß gelingen","https://en.wikipedia.org/wiki/Hilf,_Herr_Jesu,_laß_gelingen",3687a,"https://en.wikipedia.org/wiki/Hilf,_Herr_Jesu,_lass_gelingen",344,,173,155,155,344,http://www.bach-chorales.com/BWV0344.htm,97.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000414
"Ich bin ja, Herr, in deiner Macht",,5878,,345,,174,251,251,345,http://www.bach-chorales.com/BWV0345.htm,99.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000415
"Ich dank dir, Gott, für all Wohltat","https://en.wikipedia.org/wiki/Ich_dank_dir,_Gott,_für_all_Wohltat",8090b,"https://en.wikipedia.org/wiki/Ich_dank_dir,_Gott,_für_deine_Wohltat",346,,175,223,223,346,http://www.bach-chorales.com/BWV0346.htm,100.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000416
"Ich dank dir, lieber Herre","https://en.wikipedia.org/wiki/Ich_dank_dir,_lieber_Herre",5354b,"https://en.wikipedia.org/wiki/Ich_dank_dir,_lieber_Herre",347,,176,2,2,347,http://www.bach-chorales.com/BWV0347.htm,101.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000417
"Ich dank dir, lieber Herre","https://en.wikipedia.org/wiki/Ich_dank_dir,_lieber_Herre",5354b,"https://en.wikipedia.org/wiki/Ich_dank_dir,_lieber_Herre",348,,177,272,272,348,http://www.bach-chorales.com/BWV0348.htm,101.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000418
"Ich dank dir, lieber Herre (v. 4)","https://en.wikipedia.org/wiki/Ich_dank_dir,_lieber_Herre",5354b,"https://en.wikipedia.org/wiki/Ich_dank_dir,_lieber_Herre",37/6,https://en.wikipedia.org/wiki/BWV_37,178,340,341,0037_6 ,http://www.bach-chorales.com/BWV0037_6.htm,101.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011304
Ich dank dir schon durch deinen Sohn,https://en.wikipedia.org/wiki/Ich_dank_dir_schon_durch_deinen_Sohn,247b,https://en.wikipedia.org/wiki/Ich_dank_dir_schon_durch_deinen_Sohn,349,,179,188,188,349,http://www.bach-chorales.com/BWV0349.htm,4.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000419
Alle Menschen müssen sterben (v. 7),https://en.wikipedia.org/wiki/Alle_Menschen_müssen_sterben,6783,,162/6,https://en.wikipedia.org/wiki/BWV_162,18,,,0162_6 ,http://www.bach-chorales.com/BWV0162_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
"Ich danke dir, o Gott, in deinem Throne",,3199,,350,,180,229,229,350,http://www.bach-chorales.com/BWV0350.htm,139.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000420
Ich freue mich in dir (v. 4),https://en.wikipedia.org/wiki/Ich_freue_mich_in_dir,5187,"https://en.wikipedia.org/wiki/O_Gott,_du_frommer_Gott_(Zahn_5187)",133/6,https://en.wikipedia.org/wiki/BWV_133,181,61,60,0133_6 ,http://www.bach-chorales.com/BWV0133_6.htm,164.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011208
Ich hab mein Sach Gott heimgestellt,https://en.wikipedia.org/wiki/Ich_hab_mein_Sach_Gott_heimgestellt,1679,https://en.wikipedia.org/wiki/Ich_hab_mein_Sach_Gott_heimgestellt,351,,182,19,19,351,http://www.bach-chorales.com/BWV0351.htm,102.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000421
"Ich ruf zu dir, Herr Jesu Christ (v. 5)","https://en.wikipedia.org/wiki/Ich_ruf_zu_dir,_Herr_Jesu_Christ",7400,"https://en.wikipedia.org/wiki/Ich_ruf_zu_dir,_Herr_Jesu_Christ",177/5,https://en.wikipedia.org/wiki/BWV_177,183,71,71,0177_5 ,http://www.bach-chorales.com/BWV0177_5.htm,103.2a/b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011211
"Ich ruf zu dir, Herr Jesu Christ (v. 1)","https://en.wikipedia.org/wiki/Ich_ruf_zu_dir,_Herr_Jesu_Christ",7400,"https://en.wikipedia.org/wiki/Ich_ruf_zu_dir,_Herr_Jesu_Christ",185/6,https://en.wikipedia.org/wiki/BWV_185,184,,,0185_6 ,http://www.bach-chorales.com/BWV0185_6.htm,103.3b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011212
"Jesu, der du meine Seele","https://en.wikipedia.org/wiki/Jesu,_der_du_meine_Seele",6804,"https://en.wikipedia.org/wiki/Jesu,_der_du_meine_Seele",352,,185,37,37,352,http://www.bach-chorales.com/BWV0352.htm,187.3,https://www.bach-digital.de/receive/BachDigitalWork_work_00000422
"Jesu, der du meine Seele","https://en.wikipedia.org/wiki/Jesu,_der_du_meine_Seele",6804,"https://en.wikipedia.org/wiki/Jesu,_der_du_meine_Seele",353,,186,269,269,353,http://www.bach-chorales.com/BWV0353.htm,187.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000423
"Jesu, der du meine Seele","https://en.wikipedia.org/wiki/Jesu,_der_du_meine_Seele",6804,"https://en.wikipedia.org/wiki/Jesu,_der_du_meine_Seele",354,,187,368,369,354,http://www.bach-chorales.com/BWV0354.htm,187.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000424
"Jesu, der du meine Seele (v. 12)","https://en.wikipedia.org/wiki/Jesu,_der_du_meine_Seele",6804,"https://en.wikipedia.org/wiki/Jesu,_der_du_meine_Seele",78/7,https://en.wikipedia.org/wiki/BWV_78,188,296,297,0078_7 ,http://www.bach-chorales.com/BWV0078_7.htm,187.4a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011225
"Jesu, der du selbsten wohl",,6335,,355,,189,169,169,355,http://www.bach-chorales.com/BWV0355.htm,112.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000425
Alles ist an Gottes Segen,,3842f,,263,,19,128,128,263,http://www.bach-chorales.com/BWV0263.htm,12.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000333
"Jesu, du mein liebstes Leben","https://en.wikipedia.org/wiki/Jesu,_du_mein_liebstes_Leben",7891,"https://en.wikipedia.org/wiki/Jesu,_du_mein_liebstes_Leben",356,,190,243,243,356,http://www.bach-chorales.com/BWV0356.htm,113.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000426
"Jesu, Jesu, du bist mein",,6446,,357,,191,244,244,0357; ≈BWV 470: Schemelli No. 741 (53) ,http://www.bach-chorales.com/BWV0357.htm || https://en.wikipedia.org/wiki/BWV_470 || https://en.wikipedia.org/wiki/Schemellis_Gesangbuch,114.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000427
"Jesu Leiden, Pein und Tod (v. 10)","https://en.wikipedia.org/wiki/Jesu_Leiden,_Pein_und_Tod",6288b,"https://en.wikipedia.org/wiki/Jesu_Kreuz,_Leiden_und_Pein",245/14,https://en.wikipedia.org/wiki/BWV_245,192,82,83,0245_14 ,http://www.bach-chorales.com/BWV0245_14.htm,115.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011273
"Jesu Leiden, Pein und Tod (v. 20)","https://en.wikipedia.org/wiki/Jesu_Leiden,_Pein_und_Tod",6288b,"https://en.wikipedia.org/wiki/Jesu_Kreuz,_Leiden_und_Pein",245/28,https://en.wikipedia.org/wiki/BWV_245,193,106,106,0245_28 ,http://www.bach-chorales.com/BWV0245_28.htm,115.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011276
"Jesu Leiden, Pein und Tod (v. 33)","https://en.wikipedia.org/wiki/Jesu_Leiden,_Pein_und_Tod",6288b,"https://en.wikipedia.org/wiki/Jesu_Kreuz,_Leiden_und_Pein",159/5,https://en.wikipedia.org/wiki/BWV_159,194,59,61,0159_5 ,http://www.bach-chorales.com/BWV0159_5.htm,115.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011206
"Jesu, meine Freude","https://en.wikipedia.org/wiki/Jesu,_meine_Freude",8032,"https://en.wikipedia.org/wiki/Jesu,_meine_Freude",358,,195,355,356,358,http://www.bach-chorales.com/BWV0358.htm,116.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000428
"Jesu, meine Freude (vv. 1, 6)","https://en.wikipedia.org/wiki/Jesu,_meine_Freude",8032,"https://en.wikipedia.org/wiki/Jesu,_meine_Freude","227/1, 11",https://en.wikipedia.org/wiki/BWV_227,196,263,263,0227_1_11 ,http://www.bach-chorales.com/BWV0227_1_11.htm,116.5,https://www.bach-digital.de/receive/BachDigitalWork_work_00011200
"Jesu, meine Freude (v. 2)","https://en.wikipedia.org/wiki/Jesu,_meine_Freude",8032,"https://en.wikipedia.org/wiki/Jesu,_meine_Freude",81/7,https://en.wikipedia.org/wiki/BWV_81,197,323,324,0081_7 ,http://www.bach-chorales.com/BWV0081_7.htm,116.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011305
"Jesu, meine Freude (v. 2)","https://en.wikipedia.org/wiki/Jesu,_meine_Freude",8032,"https://en.wikipedia.org/wiki/Jesu,_meine_Freude",227/3,https://en.wikipedia.org/wiki/BWV_227,198,,,0227_3; SSATB ,http://www.bach-chorales.com/BWV0227_3.htm || https://en.wikipedia.org/wiki/SATB,116.6a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011201
"Jesu, meine Freude (v. 4)","https://en.wikipedia.org/wiki/Jesu,_meine_Freude",8032,"https://en.wikipedia.org/wiki/Jesu,_meine_Freude",227/7,https://en.wikipedia.org/wiki/BWV_227,199,283,283,0227_7 ,http://www.bach-chorales.com/BWV0227_7.htm,116.7a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011202
"Ach Gott, erhör mein Seufzen",,1831a,,254,,2,186,186,254,http://www.bach-chorales.com/BWV0254.htm,1.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000324
Als der gütige Gott,https://en.wikipedia.org/wiki/Als_der_gütige_Gott,1645,https://en.wikipedia.org/wiki/Als_der_gütige_Gott,264,,20,159,159,264,http://www.bach-chorales.com/BWV0264.htm,13.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000334
"Jesu, meine Freude (v. 5)","https://en.wikipedia.org/wiki/Jesu,_meine_Freude",8032,"https://en.wikipedia.org/wiki/Jesu,_meine_Freude",64/8,https://en.wikipedia.org/wiki/BWV_64,200,138,138,0064_8 ,http://www.bach-chorales.com/BWV0064_8.htm,116.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011178
Selig ist die Seele (v. 9),,8032,"https://en.wikipedia.org/wiki/Jesu,_meine_Freude",87/7,https://en.wikipedia.org/wiki/BWV_87,201,96,96,0087_7 ,http://www.bach-chorales.com/BWV0087_7.htm,116.4b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011239
"Jesu, meines Herzens Freud",,4798d,,361,,202,264,264,361,http://www.bach-chorales.com/BWV0361.htm,117.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000431
"Jesu, nun sei gepreiset","https://en.wikipedia.org/wiki/Jesu,_nun_sei_gepreiset",8477a,"https://en.wikipedia.org/wiki/Jesu,_nun_sei_gepreiset",362,,203,252,252,362,http://www.bach-chorales.com/BWV0362.htm,118.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000432
"Jesu, nun sei gepreiset (v. 2)","https://en.wikipedia.org/wiki/Jesu,_nun_sei_gepreiset",8477a,"https://en.wikipedia.org/wiki/Jesu,_nun_sei_gepreiset",171/6,https://en.wikipedia.org/wiki/BWV_171,204,,,0171_6; ≈BWV 141/6; BGA: v. 3 per P 94 ,http://www.bach-chorales.com/BWV0171_6.htm || https://en.wikipedia.org/wiki/BWV_141 || https://www.bach-digital.de/receive/BachDigitalSource_source_00000957,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
"Jesu, nun sei gepreiset (v. 2)","https://en.wikipedia.org/wiki/Jesu,_nun_sei_gepreiset",8477a,"https://en.wikipedia.org/wiki/Jesu,_nun_sei_gepreiset",190/7,https://en.wikipedia.org/wiki/BWV_190,205,326,327,0190_7 ,http://www.bach-chorales.com/BWV0190_7.htm,118.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00011306
"Jesus Christus, unser Heiland, der von uns ...","https://en.wikipedia.org/wiki/Jesus_Christus,_unser_Heiland,_der_von_uns_den_Gotteszorn_wandt",1576,"https://en.wikipedia.org/wiki/Jesus_Christus,_unser_Heiland,_der_von_uns",363,,206,30,30,363,http://www.bach-chorales.com/BWV0363.htm,121.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000433
"Jesus Christus, unser Heiland, der den Tod ...","https://en.wikipedia.org/wiki/Jesus_Christus,_unser_Heiland,_der_den_Tod_überwand",1978,"https://en.wikipedia.org/wiki/Jesus_Christus,_unser_Heiland,_der_den_Tod",364,,207,174,174,364,http://www.bach-chorales.com/BWV0364.htm,120.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000434
"Jesus, meine Zuversicht",,3432b,,365,,208,175,175,365,http://www.bach-chorales.com/BWV0365.htm,123.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000435
"Auf, mein Herz, des Herren Tag (v. 1)","https://en.wikipedia.org/wiki/Auf,_mein_Herz,_des_Herren_Tag",3432b ,,145/a,https://en.wikipedia.org/wiki/BWV_145,209,337,338,0145a ,http://www.bach-chorales.com/BWV0145a.htm,123.2a ,https://www.bach-digital.de/receive/BachDigitalWork_work_00009019
Als Jesus Christus in der Nacht,https://en.wikipedia.org/wiki/Als_Jesus_Christus_in_der_Nacht,258,https://en.wikipedia.org/wiki/Als_Jesus_Christus_in_der_Nacht,265,,21,180,180,265,http://www.bach-chorales.com/BWV0265.htm,14.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000335
"Ihr Gestirn, ihr hohlen Lüfte","https://en.wikipedia.org/wiki/Ihr_Gestirn,_ihr_hohlen_Lüfte",3703,"https://en.wikipedia.org/wiki/Ihr_Gestirn,_ihr_hohlen_Lüfte",366,,210,161,161,366,http://www.bach-chorales.com/BWV0366.htm,104.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000436
In allen meinen Taten,https://en.wikipedia.org/wiki/In_allen_meinen_Taten,2276,https://en.wikipedia.org/wiki/In_allen_meinen_Taten,367,,211,140,140,367,http://www.bach-chorales.com/BWV0367.htm,107.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000437
"In dich hab ich gehoffet, Herr (v. 1)","https://en.wikipedia.org/wiki/In_dich_hab_ich_gehoffet,_Herr",2461,"https://en.wikipedia.org/wiki/In_dich_hab_ich_gehoffet,_Herr",52/6,https://en.wikipedia.org/wiki/BWV_52,212,,,0052_6 ,http://www.bach-chorales.com/BWV0052_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
"In dich hab ich gehoffet, Herr (v. 5)","https://en.wikipedia.org/wiki/In_dich_hab_ich_gehoffet,_Herr",2461,"https://en.wikipedia.org/wiki/In_dich_hab_ich_gehoffet,_Herr",244/32,https://en.wikipedia.org/wiki/BWV_244,213,118,118,0244_32 ,http://www.bach-chorales.com/BWV0244_32.htm,108.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011354
"Nun, liebe Seel, nun ist es Zeit (v. 5)","https://en.wikipedia.org/wiki/Nun,_liebe_Seel,_nun_ist_es_Zeit",2461,"https://en.wikipedia.org/wiki/In_dich_hab_ich_gehoffet,_Herr",248/46,https://en.wikipedia.org/wiki/BWV_248,214,77,77,0248_46 ,http://www.bach-chorales.com/BWV0248_46.htm,108.3b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011265
In dulci jubilo,https://en.wikipedia.org/wiki/In_dulci_jubilo,4947,https://en.wikipedia.org/wiki/In_dulci_jubilo,368,,215,143,143,368,http://www.bach-chorales.com/BWV0368.htm,110.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000438
Ist Gott mein Schild und Helfersmann (v. 4),,2542,,85/6,https://en.wikipedia.org/wiki/BWV_85,216,122,122,0085_6 ,http://www.bach-chorales.com/BWV0085_6.htm,111.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011240
Keinen hat Gott verlassen,https://en.wikipedia.org/wiki/Keinen_hat_Gott_verlassen,5395,https://en.wikipedia.org/wiki/Keinen_hat_Gott_verlassen,369,,217,129,129,369,http://www.bach-chorales.com/BWV0369.htm,124.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000439
"Komm, Gott Schöpfer, Heiliger Geist","https://en.wikipedia.org/wiki/Komm,_Gott_Schöpfer,_Heiliger_Geist",295,"https://en.wikipedia.org/wiki/Komm,_Gott_Schöpfer,_heiliger_Geist",370,,218,187,187,370,http://www.bach-chorales.com/BWV0370.htm,125.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000440
Als vierzig Tag nach Ostern warn,https://en.wikipedia.org/wiki/Als_vierzig_Tag_nach_Ostern_warn,1743,https://en.wikipedia.org/wiki/Als_vierzig_Tag_nach_Ostern_warn,266,,22,208,208,266,http://www.bach-chorales.com/BWV0266.htm,15.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000336
"Komm, Heiliger Geist, Herre Gott (v. 1)","https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",7445a,"https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",59/3,https://en.wikipedia.org/wiki/BWV_59,220,,,0059_3; ≈BWV 175/7 ,http://www.bach-chorales.com/BWV0059_3.htm || https://en.wikipedia.org/wiki/BWV_175,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
"O Gottes Geist, mein Trost und Rat (v. 9)","https://en.wikipedia.org/wiki/O_Gottes_Geist,_mein_Trost_und_Rat",7445a,"https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",175/7,https://en.wikipedia.org/wiki/BWV_175,220,,,0175_7; ≈BWV 59/3 ,http://www.bach-chorales.com/BWV0175_7.htm || https://en.wikipedia.org/wiki/BWV_59,126.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011243
"Komm, Heiliger Geist, Herre Gott (v. 3)","https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",7445a,"https://en.wikipedia.org/wiki/Komm,_Heiliger_Geist,_Herre_Gott",226/2,https://en.wikipedia.org/wiki/BWV_226,221,69,69,0226_2 ,http://www.bach-chorales.com/BWV0226_2.htm,126.2a/b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011182
"Komm, Jesu, komm (v. 11) ","https://en.wikipedia.org/wiki/Komm,_Jesu,_komm",,,229/2,https://en.wikipedia.org/wiki/BWV_229,222,,,0229_2; Not on a pre-existing tune[33] ,http://www.bach-chorales.com/BWV0229_2.htm || https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach#cite_note-33,— ,
"Gott Vater, sende deinen Geist (v. 2)","https://en.wikipedia.org/wiki/Gott_Vater,_sende_deinen_Geist",2496c,"https://en.wikipedia.org/wiki/Kommt_her_zu_mir,_spricht_Gottes_Sohn",74/8,https://en.wikipedia.org/wiki/BWV_74,223,369,370,0074_8 ,http://www.bach-chorales.com/BWV0074_8.htm,128.2b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011245
"Gott Vater, sende deinen Geist (v. 10)","https://en.wikipedia.org/wiki/Gott_Vater,_sende_deinen_Geist",2496c,"https://en.wikipedia.org/wiki/Kommt_her_zu_mir,_spricht_Gottes_Sohn",108/6,https://en.wikipedia.org/wiki/BWV_108,224,46,45,0108_6 ,http://www.bach-chorales.com/BWV0108_6.htm,128.1b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011235
"Kyrie, Gott Vater in Ewigkeit","https://en.wikipedia.org/wiki/Kyrie,_Gott_Vater_in_Ewigkeit",8600,"https://en.wikipedia.org/wiki/Kyrie,_Gott_Vater_in_Ewigkeit",371,,225,132,132,371,http://www.bach-chorales.com/BWV0371.htm,129.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000441
"Lass, o Herr, dein Ohr sich neigen",,6863,,372,,226,218,218,372,http://www.bach-chorales.com/BWV0372.htm,82.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000442
"Liebster Gott, wenn werd ich sterben (v. 5)","https://en.wikipedia.org/wiki/Liebster_Gott,_wenn_werd_ich_sterben",6634,"https://en.wikipedia.org/wiki/Liebster_Gott,_wenn_werd_ich_sterben",8/6,https://en.wikipedia.org/wiki/BWV_8,227,43,43,0008_6; Spurious[15] ,http://www.bach-chorales.com/BWV0008_6.htm || https://en.wikipedia.org/wiki/BWV_Anh._III || https://en.wikipedia.org/wiki/List_of_chorale_harmonisations_by_Johann_Sebastian_Bach#cite_note-Vetter1713-15,131.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011228
"Liebster Jesu, wir sind hier ","https://en.wikipedia.org/wiki/Liebster_Jesu,_wir_sind_hier",3498b ,"https://en.wikipedia.org/wiki/Liebster_Jesu,_wir_sind_hier",373,,228,131,131,373,http://www.bach-chorales.com/BWV0373.htm,133.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000443
"Liebster Immanuel, Herzog ... (v. 6)","https://en.wikipedia.org/wiki/Liebster_Immanuel,_Herzog_der_Frommen",4932c,"https://en.wikipedia.org/wiki/Liebster_Immanuel,_Herzog_der_Frommen",123/6,https://en.wikipedia.org/wiki/BWV_123,229,194,194,0123_6 ,http://www.bach-chorales.com/BWV0123_6.htm,132.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011340
An Wasserflüssen Babylon ,https://en.wikipedia.org/wiki/An_Wasserflüssen_Babylon,7663,https://en.wikipedia.org/wiki/An_Wasserflüssen_Babylon_(Zahn_7663),267,,23,5,5,267,http://www.bach-chorales.com/BWV0267.htm,17.1a/b/c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000337
"Lobe den Herren, den mächtigen ... (v. 5)","https://en.wikipedia.org/wiki/Lobe_den_Herren,_den_mächtigen_König_der_Ehren",1912a,,137/5,https://en.wikipedia.org/wiki/BWV_137,230,,,0137_5; ≈BWV 120a/8 ,http://www.bach-chorales.com/BWV0137_5.htm || https://en.wikipedia.org/wiki/BWV_120a,78.2c ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011220
