Chorale text,Chorale text URL,Zahn,Zahn URL,BWV,BWV URL,389,CPE,Riemenschneider,Notes,Notes URL,BC F ,BC F URL
Wer in dem Schutz des Höchsten ist ,https://en.wikipedia.org/wiki/Wer_in_dem_Schutz_des_Höchsten_ist,4438,https://en.wikipedia.org/wiki/Aus_tiefer_Not_schrei_ich_zu_dir_(Zahn_4438),339,,151,144,144,339,http://www.bach-chorales.com/BWV0339.htm,23.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00000409
"Herzlich lieb hab ich dich, o Herr","https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",8326,"https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",340,,152,277,277,340,http://www.bach-chorales.com/BWV0340.htm,91.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000410
"Herzlich lieb hab ich dich, o Herr (v. 1)","https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",8326,"https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",174/5,https://en.wikipedia.org/wiki/BWV_174,153,56,58,0174_5 ,http://www.bach-chorales.com/BWV0174_5.htm,91.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00011244
"Herzlich lieb hab ich dich, o Herr (v. 3)","https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",8326,"https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",245/40,https://en.wikipedia.org/wiki/BWV_245,154,107,107,0245_40 ,http://www.bach-chorales.com/BWV0245_40.htm,91.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011278
"Herzlich lieb hab ich dich, o Herr (v. 3)","https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",8326,"https://en.wikipedia.org/wiki/Herzlich_lieb_hab_ich_dich,_o_Herr",149/7,https://en.wikipedia.org/wiki/BWV_149,155,,,0149_7 ,http://www.bach-chorales.com/BWV0149_7.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
"Ach Herr, mich armen Sünder (v. 6)","https://en.wikipedia.org/wiki/Ach_Herr,_mich_armen_Sünder",5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),135/6,https://en.wikipedia.org/wiki/BWV_135,156,,,0135_6 ,http://www.bach-chorales.com/BWV0135_6.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
Befiehl du deine Wege,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),270,,157,285,286,270,http://www.bach-chorales.com/BWV0270.htm,92.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000340
Befiehl du deine Wege,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),271,,158,366,367,271,http://www.bach-chorales.com/BWV0271.htm,92.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000341
Befiehl du deine Wege (v. 1),https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege,5385a,https://en.wikipedia.org/wiki/Befiehl_du_deine_Wege_(Zahn_5385a),244/44,https://en.wikipedia.org/wiki/BWV_244,159,87,80,0244_44 ,http://www.bach-chorales.com/BWV0244_44.htm,92.6b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011355
"Allein zu dir, Herr Jesu Christ (v. 4)","https://en.wikipedia.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ",7292b,"https://en.wikipedia.org/wiki/Allein_zu_dir,_Herr_Jesu_Christ",33/6,https://en.wikipedia.org/wiki/BWV_33,16,13,13,0033_6 ,http://www.bach-chorales.com/BWV0033_6.htm,11.2a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011223
